,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Arsenal,21,24.6,57.7,9,99,810,9.0,22,16,21,1,1,16,0,2.44,1.78,4.22,2.33,4.11,17.9,17.4,11.5,28.9,1.99,1.28,3.27,1.93,3.21
1,Aston Villa,21,27.2,52.0,9,99,810,9.0,7,4,7,0,0,23,0,0.78,0.44,1.22,0.78,1.22,7.3,7.3,5.7,13.0,0.81,0.63,1.44,0.81,1.44
2,Bournemouth,23,26.6,37.0,9,99,810,9.0,8,6,8,0,0,16,0,0.89,0.67,1.56,0.89,1.56,4.9,4.9,3.8,8.7,0.54,0.42,0.97,0.54,0.97
3,Brentford,23,26.2,46.0,9,99,810,9.0,16,8,14,2,2,11,0,1.78,0.89,2.67,1.56,2.44,13.0,11.5,8.2,19.7,1.44,0.91,2.36,1.28,2.19
4,Brighton,19,27.6,50.6,8,88,720,8.0,13,7,10,3,3,9,0,1.62,0.87,2.50,1.25,2.12,12.5,10.1,7.5,17.7,1.56,0.94,2.50,1.27,2.21
5,Chelsea,23,27.7,61.4,8,88,720,8.0,13,11,12,1,1,21,2,1.62,1.37,3.00,1.50,2.87,11.1,10.4,8.2,18.6,1.39,1.03,2.42,1.30,2.33
6,Crystal Palace,19,27.6,43.4,8,88,720,8.0,9,8,9,0,1,15,0,1.13,1.00,2.12,1.13,2.12,9.4,8.5,6.9,15.4,1.18,0.86,2.04,1.07,1.93
7,Everton,25,26.1,41.9,9,99,810,9.0,7,6,7,0,0,21,0,0.78,0.67,1.44,0.78,1.44,9.9,9.9,6.6,16.6,1.10,0.74,1.84,1.10,1.84
8,Fulham,26,28.3,41.6,9,99,810,9.0,13,10,12,1,2,26,1,1.44,1.11,2.56,1.33,2.44,9.6,8.1,4.5,12.5,1.07,0.50,1.57,0.90,1.39
9,Leeds United,22,25.5,52.8,8,88,720,8.0,10,7,10,0,0,21,1,1.25,0.87,2.12,1.25,2.12,10.6,10.6,6.4,17.1,1.33,0.80,2.13,1.33,2.13
10,Leicester City,20,27.1,53.9,9,99,810,9.0,14,9,13,1,1,13,0,1.56,1.00,2.56,1.44,2.44,9.5,8.7,7.0,15.8,1.06,0.78,1.84,0.97,1.75
11,Liverpool,22,28.1,65.5,8,88,720,8.0,18,14,18,0,0,8,1,2.25,1.75,4.00,2.25,4.00,14.7,14.7,10.3,25.0,1.84,1.28,3.12,1.84,3.12
12,Manchester City,21,27.4,68.3,9,99,810,9.0,32,28,31,1,1,5,0,3.56,3.11,6.67,3.44,6.56,20.9,20.2,14.3,34.5,2.33,1.59,3.92,2.24,3.83
13,Manchester Utd,22,27.1,50.6,8,88,720,8.0,12,10,11,1,1,24,0,1.50,1.25,2.75,1.37,2.62,10.7,9.9,8.3,18.2,1.34,1.04,2.38,1.24,2.28
14,Newcastle Utd,22,27.7,53.1,9,99,810,9.0,16,9,15,1,1,14,0,1.78,1.00,2.78,1.67,2.67,17.4,16.6,11.3,27.9,1.93,1.25,3.18,1.85,3.10
15,Nott'ham Forest,25,25.8,43.6,9,99,810,9.0,7,3,6,1,1,27,0,0.78,0.33,1.11,0.67,1.00,8.4,7.6,4.9,12.6,0.93,0.55,1.48,0.85,1.40
16,Southampton,25,24.6,43.1,9,99,810,9.0,8,7,8,0,0,12,0,0.89,0.78,1.67,0.89,1.67,8.5,8.5,7.1,15.6,0.94,0.79,1.73,0.94,1.73
17,Tottenham,20,27.8,47.0,9,99,810,9.0,18,15,17,1,2,18,1,2.00,1.67,3.67,1.89,3.56,13.9,12.3,9.7,22.1,1.54,1.08,2.63,1.37,2.45
18,West Ham,22,28.4,42.1,9,99,810,9.0,8,3,7,1,2,11,0,0.89,0.33,1.22,0.78,1.11,10.5,9.2,5.9,15.1,1.17,0.65,1.83,1.02,1.67
19,Wolves,23,26.5,52.1,9,99,810,9.0,3,3,3,0,0,16,1,0.33,0.33,0.67,0.33,0.67,8.0,8.0,6.6,14.6,0.89,0.73,1.62,0.89,1.62
